President,Birthplace,State of birth,Latitude,Longitude,Date of birth,In office
William Howard Taft,Cincinnati,Ohio,39.1413,-84.5061,"September 15, 1857","(27th) March 4, 1909 – March 4, 1913"
Theodore Roosevelt,Manhattan,New York,40.7834,-73.9662,"October 27, 1858","(26th) September 14, 1901 – March 4, 1909"
Warren G. Harding,Blooming Grove,Ohio,32.0924,-96.7173,"November 2, 1865","(29th) March 4, 1921 – August 2, 1923"
Calvin Coolidge,Plymouth,Vermont,45.0225,-93.4618,"July 4, 1872","(30th) August 2, 1923 – March 4, 1929"
Herbert Hoover,West Branch,Iowa,41.6662,-91.3442,"August 10, 1874","(31st) March 4, 1929 – March 4, 1933"
Franklin D. Roosevelt,Hyde Park,New York,41.8008,-111.8119,"January 30, 1882","(32nd) March 4, 1933 – April 12, 1945"
Harry S. Truman,Lamar,Missouri,38.0739,-102.6153,"May 8, 1884","(33rd) April 12, 1945 – January 20, 1953"
Dwight D. Eisenhower,Denison,Texas,33.7672,-96.5807,"October 14, 1890","(34th) January 20, 1953 – January 20, 1961"
Lyndon B. Johnson,Stonewall,Texas,32.2715,-93.81,27-Aug-08,"(36th) November 22, 1963 – January 20, 1969"
Ronald Reagan,Tampico,Illinois,41.6308,-89.785,6-Feb-11,"(40th) January 20, 1981 – January 20, 1989"
Richard Nixon,Yorba Linda,California,33.889,-117.7714,9-Jan-13,"(37th) January 20, 1969 – August 9, 1974"
Gerald Ford,Omaha,Nebraska,41.2627,-96.0522,14-Jul-13,"(38th) August 9, 1974 – January 20, 1977"
John F. Kennedy,Brookline,Massachusetts,42.3318,-71.1212,29-May-17,"(35th) January 20, 1961 – November 22, 1963"
George H. W. Bush,Milton,Massachusetts,34.1353,-84.3138,12-Jun-24,"(41st) January 20, 1989 – January 20, 1993"
Jimmy Carter,Plains,Georgia,33.1896,-102.8272,1-Oct-24,"(39th) January 20, 1977 – January 20, 1981"
Joseph R. Biden,Scranton,Pennsylvania,41.4044,-75.6649,20-Nov-42,"(46th) January 20, 2021 – present"
Donald Trump,Queens,New York,40.7498,-73.7976,14-Jun-46,"(45th) January 20, 2017 – January 20, 2021"
George W. Bush,New Haven,Connecticut,41.3112,-72.9246,6-Jul-46,"(43rd) January 20, 2001 – January 20, 2009"
Bill Clinton,Hope,Arkansas,33.6682,-93.5895,19-Aug-46,"(42nd) January 20, 1993 – January 20, 2001"
Barack Obama,Honolulu,Hawaii,21.3294,-157.846,4-Aug-61,"(44th) January 20, 2009 – January 20, 2017"
